            mmlo_unfiltered  mmlo_filtered  mmlo_lowpass  mmlo_highpass  \
2016-02-29         1.965887       0.900392      1.655238       1.222640  
2016-03-31         1.555876       0.658226      1.407403       0.822347  
2016-04-30         1.055866       0.356951      1.098014       0.334601  
2016-05-31         0.565855       0.014742      0.745233      -0.140603  
2016-06-30         0.065845      -0.345334      0.372128      -0.623284  
2016-07-31        -0.354166      -0.697025      0.004958      -1.023471  
2016-08-31        -0.614177      -1.013040     -0.328964      -1.261209  
2016-09-30        -0.774187      -1.267448     -0.603673      -1.396556  
2016-10-31        -0.864198      -1.438069     -0.796942      -1.459588  
2016-11-30        -0.864209      -1.508647     -0.892453      -1.430395  
2016-12-31        -0.694219      -1.470544     -0.881492      -1.229086  
2017-01-31        -0.444230      -1.323775     -0.763979      -0.945789  
2017-02-28        -0.144240      -1.077253     -0.548722      -0.610650  
2017-03-31         0.125749      -0.748203     -0.252814      -0.303839  
2017-04-30         0.365739      -0.360768      0.099744      -0.025542  
2017-05-31         0.455728       0.056042      0.480110       0.104027  

[711 rows x 8 columns]
